Film,Director,Year,Rating,Votes,Mean_Rating
No Country for Old Men,Ethan Coen,2007,8.1,832979,8.124
Det sjunde inseglet,Ingmar Bergman,1957,8.1,159639,8.122
Inside Out,Pete Docter,2015,8.1,593562,8.121
Warrior,Gavin O'Connor,2011,8.1,428041,8.119
The Elephant Man,David Lynch,1980,8.1,214831,8.116
Trainspotting,Danny Boyle,1996,8.1,624000,8.116
The Sixth Sense,M. Night Shyamalan,1999,8.1,895353,8.115
The Thing,John Carpenter,1982,8.1,360678,8.114
Jurassic Park,Steven Spielberg,1993,8.1,847267,8.111
Gone with the Wind,Victor Fleming,1939,8.1,284358,8.107
Smultronstället,Ingmar Bergman,1957,8.1,93029,8.105
The Truman Show,Peter Weir,1998,8.1,912005,8.104
Finding Nemo,Andrew Stanton,2003,8.1,929051,8.104
Blade Runner,Ridley Scott,1982,8.1,678904,8.104
Room,Lenny Abrahamson,2015,8.1,358201,8.102
The Bridge on the River Kwai,David Lean,1957,8.1,198977,8.101
Stalker,Andrei Tarkovsky,1979,8.1,112245,8.101
Kill Bill: Vol. 1,Quentin Tarantino,2003,8.1,978492,8.101
Fargo,Joel Coen,1996,8.1,601657,8.098
Tôkyô monogatari,Yasujirô Ozu,1953,8.1,50626,8.096
The Third Man,Carol Reed,1949,8.1,155455,8.096
Salinui chueok,Bong Joon Ho,2003,8.1,128598,8.096
On the Waterfront,Elia Kazan,1954,8.1,138763,8.096
Gran Torino,Clint Eastwood,2008,8.1,707840,8.095
The Deer Hunter,Michael Cimino,1978,8.1,304769,8.092
Relatos salvajes,Damián Szifron,2014,8.1,170848,8.091
Klaus,Sergio Pablos,2019,8.1,75292,8.087
In the Name of the Father,Jim Sheridan,1993,8.1,153030,8.085
Mary and Max,Adam Elliot,2009,8.1,161299,8.084
Andhadhun,Sriram Raghavan,2018,8.1,66108,8.084
Gone Girl,David Fincher,2014,8.1,834813,8.082
Hacksaw Ridge,Mel Gibson,2016,8.1,419212,8.081
The Grand Budapest Hotel,Wes Anderson,2014,8.1,688571,8.081
The Big Lebowski,Joel Coen,1998,8.1,714989,8.079
Before Sunrise,Richard Linklater,1995,8.1,263396,8.079
Catch Me If You Can,Steven Spielberg,2002,8.1,801932,8.077
Eskiya,Yavuz Turgul,1996,8.1,61995,8.077
Persona,Ingmar Bergman,1966,8.1,99119,8.076
To Be or Not to Be,Ernst Lubitsch,1942,8.1,27655,8.074
Ford v. Ferrari,James Mangold,2019,8.1,254601,8.074
Prisoners,Denis Villeneuve,2013,8.1,582221,8.072
The General,Clyde Bruckman,1926,8.1,78891,8.071
How to Train Your Dragon,Dean DeBlois,2010,8.1,652235,8.071
Sherlock Jr.,Buster Keaton,1924,8.1,39769,8.07
Mr. Smith Goes to Washington,Frank Capra,1939,8.1,104673,8.067
12 Years a Slave,Steve McQueen,2013,8.1,625463,8.065
Barry Lyndon,Stanley Kubrick,1975,8.1,145588,8.062
Mad Max: Fury Road,George Miller,2015,8.1,857813,8.061
Network,Sidney Lumet,1976,8.1,142085,8.057
Stand by Me,Rob Reiner,1986,8.1,356236,8.056
Million Dollar Baby,Clint Eastwood,2004,8.1,623984,8.056
Cool Hand Luke,Stuart Rosenberg,1967,8.1,158612,8.055
